NT_GER,QE_I01,QE_I04,QE_I05,QE_I08,QE_I09,QE_I15
37.3,Solteiro(a),Fundamental II,Médio,A,C,Étnico-racial
27.7,Casado(a),Fundamental II,Fundamental II,A,E,Ensino Público
31.9,Solteiro(a),Fundamental I,Superior,B,C,Ensino Público
38.9,Solteiro(a),Nenhuma,Fundamental I,A,A,Sem Cotas
28.8,Divorciado(a),Fundamental I,Médio,B,E,Étnico-racial
30.4,Solteiro(a),Nenhuma,Nenhuma,A,E,Sem Cotas
28.3,Solteiro(a),Médio,Médio,C,C,Sem Cotas
14.3,Solteiro(a),Médio,Fundamental I,B,B,Ensino Público
36.4,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
66.3,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
27.3,Solteiro(a),Médio,Médio,A,B,Sem Cotas
54.6,Solteiro(a),Fundamental II,Fundamental I,B,B,Sem Cotas
34.8,Solteiro(a),Fundamental II,Médio,A,B,Sem Cotas
44.2,Solteiro(a),Médio,Fundamental I,A,C,Sem Cotas
34.1,Solteiro(a),Nenhuma,Nenhuma,A,B,Sem Cotas
38.9,Solteiro(a),Superior,Fundamental II,C,C,Ensino Público
47.6,Solteiro(a),Médio,Fundamental I,C,B,Sem Cotas
41.4,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
58.3,Solteiro(a),Superior,Pós-graduação,C,B,Sem Cotas
41.1,Solteiro(a),Fundamental I,Fundamental I,A,A,2 ou mais critérios
42.5,Casado(a),Nenhuma,Fundamental I,A,B,Sem Cotas
61.2,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
35.0,Solteiro(a),Nenhuma,Fundamental I,A,B,Renda
52.9,Casado(a),Fundamental I,Fundamental II,A,A,Sem Cotas
24.2,Solteiro(a),Fundamental II,Fundamental I,A,B,Sem Cotas
40.3,Solteiro(a),Fundamental I,Médio,C,B,Ensino Público
39.8,Solteiro(a),Fundamental I,Fundamental II,A,C,Ensino Público
47.3,Solteiro(a),Fundamental I,Fundamental I,B,B,Sem Cotas
59.9,Solteiro(a),Nenhuma,Fundamental I,B,B,Ensino Público
41.0,Casado(a),Nenhuma,Fundamental I,B,C,Ensino Público
53.2,Solteiro(a),Fundamental I,Fundamental I,B,B,Sem Cotas
65.1,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
38.7,Solteiro(a),Nenhuma,Fundamental I,A,A,Sem Cotas
30.7,Solteiro(a),Fundamental I,Fundamental I,B,B,Sem Cotas
58.0,Divorciado(a),Fundamental I,Fundamental II,A,A,Sem Cotas
54.5,Solteiro(a),Nenhuma,Fundamental I,B,B,Sem Cotas
33.8,Solteiro(a),Nenhuma,Fundamental I,A,C,Sem Cotas
62.7,Solteiro(a),Fundamental II,Médio,A,C,Étnico-racial
44.6,Solteiro(a),Médio,Médio,A,A,Sem Cotas
42.7,Casado(a),Fundamental I,Fundamental I,A,A,Sem Cotas
45.6,Solteiro(a),Fundamental I,Fundamental I,B,B,Ensino Público
37.5,Solteiro(a),Fundamental I,Fundamental I,A,E,2 ou mais critérios
55.7,Solteiro(a),Fundamental II,Médio,A,A,Sem Cotas
48.4,Solteiro(a),Nenhuma,Nenhuma,B,E,Sem Cotas
31.5,Solteiro(a),Médio,Fundamental I,A,A,Sem Cotas
31.1,Solteiro(a),Médio,Fundamental II,A,B,Sem Cotas
70.7,Casado(a),Nenhuma,Nenhuma,B,F,Sem Cotas
32.1,Solteiro(a),Nenhuma,Fundamental I,B,B,Sem Cotas
55.9,Solteiro(a),Fundamental I,Fundamental I,B,F,Sem Cotas
41.9,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
36.1,Solteiro(a),Nenhuma,Médio,A,B,Sem Cotas
40.3,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
34.9,Divorciado(a),Nenhuma,Médio,A,C,Sem Cotas
31.8,Solteiro(a),Fundamental I,Nenhuma,A,F,Sem Cotas
46.3,Solteiro(a),Nenhuma,Fundamental I,D,D,Sem Cotas
27.3,Solteiro(a),Nenhuma,Fundamental I,A,E,Sem Cotas
64.1,Casado(a),Fundamental I,Fundamental I,A,E,Sem Cotas
54.3,Solteiro(a),Fundamental I,Superior,A,B,Renda
35.2,Solteiro(a),Nenhuma,Nenhuma,B,A,Sem Cotas
48.2,Casado(a),Fundamental I,Fundamental I,B,E,Sem Cotas
42.5,Solteiro(a),Fundamental I,Fundamental I,A,C,Étnico-racial
38.7,Outro,Fundamental II,Fundamental I,A,C,Sem Cotas
43.8,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
38.0,Solteiro(a),Nenhuma,Nenhuma,A,B,Ensino Público
53.6,Solteiro(a),Fundamental I,Fundamental II,B,E,2 ou mais critérios
61.1,Solteiro(a),Fundamental I,Nenhuma,A,C,2 ou mais critérios
40.0,Casado(a),Fundamental I,Superior,B,E,Étnico-racial
52.3,Solteiro(a),Nenhuma,Superior,C,B,Sem Cotas
32.2,Casado(a),Superior,Superior,C,E,Sem Cotas
38.8,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
37.9,Casado(a),Médio,Médio,F,C,Sem Cotas
53.8,Solteiro(a),Fundamental I,Fundamental II,B,F,Sem Cotas
37.4,Solteiro(a),Superior,Fundamental I,B,D,Sem Cotas
36.6,Casado(a),Nenhuma,Nenhuma,A,B,Sem Cotas
24.9,Solteiro(a),Fundamental I,Fundamental II,C,E,Sem Cotas
50.4,Casado(a),Nenhuma,Fundamental I,A,E,Sem Cotas
21.9,Solteiro(a),Nenhuma,Nenhuma,B,B,Sem Cotas
37.9,Casado(a),Médio,Fundamental I,B,C,2 ou mais critérios
36.2,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
42.1,Solteiro(a),Nenhuma,Fundamental I,B,C,Sem Cotas
36.2,Viúvo(a),Nenhuma,Nenhuma,A,F,Sem Cotas
54.7,Solteiro(a),Fundamental I,Fundamental I,A,A,Étnico-racial
72.2,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
56.9,Solteiro(a),Nenhuma,Fundamental I,A,C,Ensino Público
68.0,Solteiro(a),Pós-graduação,Superior,D,B,Sem Cotas
56.3,Solteiro(a),Médio,Médio,E,C,Sem Cotas
66.8,Casado(a),Superior,Médio,B,B,Sem Cotas
63.2,Casado(a),Nenhuma,Fundamental I,B,C,Sem Cotas
60.2,Solteiro(a),Médio,Médio,A,A,Ensino Público
33.2,Solteiro(a),Nenhuma,Nenhuma,A,F,Étnico-racial
64.1,Solteiro(a),Médio,Médio,B,E,Sem Cotas
65.6,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
28.1,Divorciado(a),Médio,Fundamental II,A,E,Sem Cotas
38.6,Casado(a),Médio,Superior,B,C,Sem Cotas
53.3,Solteiro(a),Fundamental I,Fundamental II,C,E,Sem Cotas
54.9,Outro,Nenhuma,Fundamental I,B,E,Sem Cotas
36.6,Solteiro(a),Nenhuma,Fundamental I,A,A,Sem Cotas
46.5,Casado(a),Fundamental I,Fundamental II,B,E,Sem Cotas
45.7,Solteiro(a),Fundamental I,Fundamental I,C,E,Sem Cotas
27.8,Solteiro(a),Nenhuma,Nenhuma,B,B,Sem Cotas
47.1,Solteiro(a),Fundamental II,Fundamental I,B,E,Ensino Público
51.0,Solteiro(a),Fundamental I,Superior,B,C,Sem Cotas
51.2,Solteiro(a),Nenhuma,Fundamental II,A,B,Sem Cotas
26.2,Solteiro(a),Fundamental I,Fundamental I,A,B,Sim - ?
48.3,Casado(a),Fundamental II,Fundamental I,C,D,Sem Cotas
61.4,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
30.9,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
27.2,Casado(a),Médio,Superior,A,A,Sem Cotas
57.9,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
37.6,Solteiro(a),Médio,Fundamental I,B,E,Sem Cotas
32.4,Solteiro(a),Fundamental II,Fundamental II,A,E,Sem Cotas
44.0,Solteiro(a),Nenhuma,Nenhuma,A,B,Étnico-racial
34.1,Casado(a),Superior,Médio,B,C,Sem Cotas
38.7,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
36.8,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
47.3,Solteiro(a),Médio,Pós-graduação,B,B,Ensino Público
43.4,Solteiro(a),Fundamental I,Fundamental I,A,D,Sem Cotas
36.8,Solteiro(a),Fundamental I,Fundamental I,A,B,Sim - ?
59.7,Solteiro(a),Nenhuma,Fundamental I,A,C,Sem Cotas
71.5,Solteiro(a),Fundamental II,Fundamental I,A,D,Sem Cotas
51.7,Solteiro(a),Nenhuma,Nenhuma,B,B,Sem Cotas
50.3,Casado(a),Fundamental I,Médio,A,E,Renda
65.1,Solteiro(a),Fundamental I,Médio,B,A,Ensino Público
58.6,Solteiro(a),Fundamental II,Nenhuma,A,B,Sem Cotas
37.8,Solteiro(a),Nenhuma,Médio,A,B,Ensino Público
39.4,Solteiro(a),Fundamental II,Fundamental II,B,B,Sem Cotas
61.1,Solteiro(a),Fundamental I,Superior,D,B,Sem Cotas
66.3,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
51.4,Casado(a),Fundamental II,Médio,B,F,Sem Cotas
66.5,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
61.5,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
48.0,Solteiro(a),Fundamental II,Fundamental II,A,B,Sem Cotas
50.7,Solteiro(a),Fundamental I,Médio,A,A,Sem Cotas
35.7,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
35.3,Casado(a),Fundamental I,Fundamental I,A,C,Sem Cotas
26.4,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
20.8,Solteiro(a),Nenhuma,Médio,A,B,Sem Cotas
52.2,Solteiro(a),Superior,Fundamental I,D,E,Sem Cotas
39.5,Solteiro(a),Fundamental I,Fundamental I,B,A,Sem Cotas
32.7,Casado(a),Fundamental II,Fundamental I,B,C,Sem Cotas
37.0,Solteiro(a),Superior,Médio,A,A,Ensino Público
32.7,Solteiro(a),Fundamental II,Fundamental I,A,E,Sem Cotas
58.7,Solteiro(a),Nenhuma,Médio,C,C,Sim - ?
68.8,Solteiro(a),Fundamental II,Médio,A,A,2 ou mais critérios
24.2,Solteiro(a),Fundamental I,Fundamental I,C,C,Sem Cotas
33.9,Solteiro(a),Fundamental I,Fundamental I,B,E,Sem Cotas
60.9,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
45.8,Divorciado(a),Pós-graduação,Superior,B,C,Sim - ?
24.5,Divorciado(a),Fundamental I,Fundamental I,A,D,Sem Cotas
37.9,Solteiro(a),Nenhuma,Médio,A,A,Sem Cotas
45.8,Outro,Médio,Fundamental II,A,A,Renda
70.8,Solteiro(a),Fundamental II,Médio,C,C,Sem Cotas
42.1,Solteiro(a),Fundamental I,Fundamental II,A,A,Ensino Público
41.5,Solteiro(a),Fundamental II,Superior,C,C,Sem Cotas
45.4,Casado(a),Nenhuma,Nenhuma,A,F,Sim - ?
54.4,Outro,Superior,Fundamental II,B,C,Ensino Público
29.2,Casado(a),Fundamental II,Fundamental I,A,E,Sem Cotas
56.0,Solteiro(a),Nenhuma,Nenhuma,B,A,Sem Cotas
52.0,Solteiro(a),Fundamental I,Nenhuma,A,B,Sem Cotas
53.0,Solteiro(a),Fundamental I,Fundamental I,C,C,2 ou mais critérios
53.0,Casado(a),Fundamental I,Fundamental I,A,F,Sem Cotas
58.7,Casado(a),Médio,Pós-graduação,B,B,Sem Cotas
65.0,Solteiro(a),Fundamental I,Médio,A,C,Sem Cotas
32.5,Casado(a),Nenhuma,Nenhuma,A,A,Sem Cotas
49.5,Casado(a),Nenhuma,Fundamental I,A,A,Étnico-racial
65.8,Casado(a),Nenhuma,Fundamental I,B,B,Sem Cotas
38.7,Casado(a),Médio,Fundamental I,A,B,Renda
44.8,Divorciado(a),Fundamental I,Fundamental I,B,E,Sem Cotas
67.0,Divorciado(a),Fundamental I,Fundamental II,C,C,Sem Cotas
54.9,Casado(a),Médio,Fundamental I,A,A,Sem Cotas
65.2,Solteiro(a),Superior,Superior,B,B,Ensino Público
42.6,Casado(a),Médio,Superior,D,B,Ensino Público
56.2,Solteiro(a),Nenhuma,Fundamental I,A,B,Renda
58.5,Casado(a),Médio,Fundamental I,A,A,Sem Cotas
46.2,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
58.5,Solteiro(a),Médio,Médio,A,B,Sem Cotas
36.2,Divorciado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
50.2,Casado(a),Fundamental I,Pós-graduação,B,E,Sem Cotas
74.5,Solteiro(a),Fundamental II,Fundamental I,A,E,Sem Cotas
47.0,Solteiro(a),Médio,Médio,D,B,Sem Cotas
48.3,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
69.6,Casado(a),Médio,Fundamental II,C,E,Sem Cotas
59.9,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
58.4,Casado(a),Nenhuma,Nenhuma,A,F,Sem Cotas
46.8,Casado(a),Nenhuma,Nenhuma,A,A,Sem Cotas
29.3,Casado(a),Nenhuma,Fundamental I,A,B,Étnico-racial
46.0,Casado(a),Fundamental I,Fundamental I,B,D,Sem Cotas
35.6,Outro,Fundamental I,Nenhuma,A,F,2 ou mais critérios
66.8,Solteiro(a),Fundamental I,Fundamental II,A,A,Sem Cotas
66.0,Solteiro(a),Fundamental I,Fundamental II,A,A,2 ou mais critérios
51.4,Casado(a),Fundamental I,Fundamental I,A,A,Sem Cotas
65.0,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
65.7,Casado(a),Nenhuma,Nenhuma,C,C,Sem Cotas
58.5,Solteiro(a),Médio,Médio,C,E,Sem Cotas
48.3,Solteiro(a),Médio,Fundamental I,A,B,Sem Cotas
45.0,Solteiro(a),Fundamental I,Fundamental I,B,E,Sem Cotas
44.9,Solteiro(a),Fundamental I,Médio,A,A,Renda
45.3,Solteiro(a),Fundamental I,Médio,A,A,Sem Cotas
43.9,Solteiro(a),Nenhuma,Fundamental I,A,A,Sem Cotas
30.6,Solteiro(a),Fundamental I,Fundamental II,B,D,Sem Cotas
62.6,Solteiro(a),Fundamental I,Fundamental I,A,B,2 ou mais critérios
46.3,Solteiro(a),Nenhuma,Fundamental I,A,A,Étnico-racial
52.1,Solteiro(a),Fundamental I,Fundamental II,A,E,Sem Cotas
46.5,Solteiro(a),Médio,Fundamental II,B,D,Ensino Público
59.8,Solteiro(a),Fundamental I,Fundamental II,A,A,Sem Cotas
49.5,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
23.4,Solteiro(a),Médio,Médio,A,D,Sem Cotas
54.0,Solteiro(a),Nenhuma,Nenhuma,A,B,Sem Cotas
29.5,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
59.7,Solteiro(a),Nenhuma,Fundamental II,A,A,Sem Cotas
48.2,Casado(a),Nenhuma,Fundamental I,A,C,2 ou mais critérios
54.8,Solteiro(a),Nenhuma,Fundamental II,A,A,Sem Cotas
29.5,Casado(a),Fundamental I,Fundamental I,A,E,Ensino Público
50.2,Casado(a),Médio,Fundamental II,C,C,Sem Cotas
57.5,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
70.0,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
48.9,Casado(a),Médio,Fundamental I,A,E,Sem Cotas
65.7,Casado(a),Fundamental II,Fundamental II,F,E,Sem Cotas
35.2,Viúvo(a),Fundamental I,Fundamental I,A,C,Sem Cotas
44.3,Solteiro(a),Fundamental I,Fundamental II,B,C,Ensino Público
69.6,Solteiro(a),Fundamental I,Médio,B,C,Sem Cotas
39.9,Solteiro(a),Nenhuma,Nenhuma,B,B,Sem Cotas
33.4,Casado(a),Fundamental I,Fundamental I,A,C,Sem Cotas
40.0,Solteiro(a),Nenhuma,Fundamental I,B,B,Sem Cotas
45.6,Divorciado(a),Fundamental I,Fundamental I,A,E,Ensino Público
30.4,Solteiro(a),Fundamental I,Fundamental I,B,B,Sem Cotas
40.9,Casado(a),Fundamental I,Superior,B,E,Sem Cotas
49.6,Outro,Nenhuma,Fundamental I,B,F,Sem Cotas
46.7,Casado(a),Médio,Fundamental II,A,B,Sem Cotas
32.6,Solteiro(a),Nenhuma,Fundamental I,C,E,Sem Cotas
22.6,Solteiro(a),Médio,Médio,A,F,Ensino Público
48.9,Solteiro(a),Fundamental I,Nenhuma,A,A,Renda
62.6,Solteiro(a),Fundamental II,Fundamental II,A,A,Sem Cotas
53.3,Solteiro(a),Médio,Médio,A,B,Sem Cotas
39.8,Solteiro(a),Fundamental II,Fundamental I,A,A,Renda
34.0,Casado(a),Fundamental I,Fundamental II,B,E,Sem Cotas
53.0,Solteiro(a),Fundamental I,Fundamental I,A,B,Renda
47.3,Solteiro(a),Fundamental I,Fundamental I,B,C,Ensino Público
58.4,Casado(a),Fundamental I,Fundamental I,B,B,Sem Cotas
59.2,Solteiro(a),Fundamental I,Fundamental I,A,E,Ensino Público
37.0,Solteiro(a),Nenhuma,Fundamental I,A,A,Renda
61.0,Solteiro(a),Pós-graduação,Fundamental I,C,C,Sem Cotas
41.9,Solteiro(a),Fundamental I,Médio,A,B,Ensino Público
58.6,Solteiro(a),Fundamental II,Fundamental I,A,B,Sem Cotas
40.3,Outro,Nenhuma,Fundamental I,B,E,Ensino Público
46.0,Solteiro(a),Nenhuma,Fundamental I,B,C,Sem Cotas
42.6,Solteiro(a),Médio,Fundamental II,D,D,Sem Cotas
52.1,Casado(a),Fundamental I,Fundamental I,A,E,Sem Cotas
51.2,Casado(a),Fundamental II,Médio,B,F,2 ou mais critérios
69.4,Solteiro(a),Fundamental II,Pós-graduação,F,B,Sem Cotas
40.4,Solteiro(a),Fundamental II,Fundamental I,A,E,Sem Cotas
53.2,Solteiro(a),Médio,Fundamental I,E,F,Sem Cotas
55.8,Solteiro(a),Fundamental I,Fundamental I,A,A,2 ou mais critérios
79.6,Solteiro(a),Médio,Médio,B,C,Sem Cotas
53.0,Solteiro(a),Fundamental I,Médio,B,A,2 ou mais critérios
51.3,Casado(a),Médio,Médio,A,C,Sem Cotas
42.9,Solteiro(a),Fundamental II,Fundamental I,B,B,Sem Cotas
49.9,Divorciado(a),Fundamental I,Fundamental I,A,A,2 ou mais critérios
47.9,Casado(a),Fundamental I,Fundamental I,B,C,Sem Cotas
25.4,Casado(a),Fundamental I,Fundamental II,E,E,Sem Cotas
52.6,Casado(a),Superior,Superior,B,B,Sem Cotas
67.9,Solteiro(a),Superior,Pós-graduação,F,C,Sem Cotas
45.9,Solteiro(a),Nenhuma,Fundamental I,A,A,Étnico-racial
63.7,Solteiro(a),Médio,Superior,B,B,Sem Cotas
49.2,Casado(a),Fundamental I,Fundamental I,C,E,Ensino Público
55.5,Solteiro(a),Médio,Médio,A,C,Sem Cotas
62.2,Solteiro(a),Médio,Superior,A,B,Sem Cotas
50.2,Solteiro(a),Fundamental I,Fundamental I,A,C,Renda
58.5,Solteiro(a),Médio,Médio,D,B,Sem Cotas
43.8,Solteiro(a),Superior,Médio,D,E,Sem Cotas
62.5,Solteiro(a),Médio,Pós-graduação,F,B,Sem Cotas
49.4,Solteiro(a),Fundamental II,Fundamental II,A,C,2 ou mais critérios
49.7,Solteiro(a),Fundamental I,Nenhuma,B,C,Sem Cotas
47.5,Solteiro(a),Fundamental I,Fundamental II,A,C,Étnico-racial
51.3,Solteiro(a),Fundamental I,Fundamental I,B,B,Sem Cotas
50.9,Solteiro(a),Superior,Médio,B,E,Renda
46.1,Outro,Fundamental I,Fundamental II,A,B,Sem Cotas
39.1,Outro,Nenhuma,Fundamental I,B,B,Ensino Público
67.7,Solteiro(a),Superior,Superior,E,B,Sem Cotas
59.6,Solteiro(a),Médio,Médio,E,B,Sem Cotas
64.4,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
55.0,Solteiro(a),Nenhuma,Fundamental I,A,E,Sem Cotas
50.1,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
68.1,Outro,Fundamental II,Fundamental I,D,E,Sem Cotas
42.6,Solteiro(a),Fundamental I,Superior,A,C,Sem Cotas
39.7,Casado(a),Fundamental II,Fundamental II,A,F,Ensino Público
42.4,Casado(a),Médio,Médio,B,B,Sem Cotas
57.3,Solteiro(a),Fundamental II,Fundamental II,A,E,Ensino Público
61.4,Solteiro(a),Nenhuma,Nenhuma,A,E,Sem Cotas
43.0,Casado(a),Fundamental I,Médio,C,B,Sem Cotas
50.0,Solteiro(a),Fundamental I,Médio,A,A,Ensino Público
35.0,Solteiro(a),Médio,Fundamental I,A,B,2 ou mais critérios
60.9,Solteiro(a),Nenhuma,Fundamental II,B,F,2 ou mais critérios
51.4,Solteiro(a),Nenhuma,Fundamental I,A,C,Ensino Público
41.2,Solteiro(a),Fundamental I,Fundamental I,C,E,Étnico-racial
33.8,Solteiro(a),Médio,Fundamental II,D,B,Sem Cotas
48.4,Solteiro(a),Fundamental II,Médio,B,D,Sem Cotas
46.4,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
40.0,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
35.8,Casado(a),Médio,Médio,B,E,Ensino Público
38.6,Casado(a),Fundamental II,Médio,A,E,Sem Cotas
38.1,Casado(a),Fundamental II,Fundamental II,A,B,Sem Cotas
35.8,Casado(a),Nenhuma,Nenhuma,B,E,Renda
71.4,Solteiro(a),Superior,Superior,B,B,Sem Cotas
25.2,Solteiro(a),Nenhuma,Nenhuma,A,F,Renda
50.7,Solteiro(a),Nenhuma,Fundamental II,D,D,Sem Cotas
53.3,Casado(a),Médio,Médio,B,C,2 ou mais critérios
71.6,Solteiro(a),Médio,Médio,B,B,Sem Cotas
35.6,Casado(a),Fundamental II,Fundamental II,B,E,Sem Cotas
67.9,Solteiro(a),Superior,Médio,A,C,Sem Cotas
43.9,Divorciado(a),Fundamental II,Fundamental I,C,B,Sem Cotas
47.1,Solteiro(a),Fundamental II,Superior,B,B,Ensino Público
71.3,Solteiro(a),Nenhuma,Fundamental I,B,A,Ensino Público
59.3,Casado(a),Fundamental II,Fundamental I,A,E,Sem Cotas
60.4,Casado(a),Nenhuma,Fundamental I,A,D,Ensino Público
60.4,Casado(a),Médio,Fundamental II,A,E,Sem Cotas
32.7,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
56.3,Solteiro(a),Superior,Superior,C,C,Sem Cotas
33.0,Viúvo(a),Fundamental I,Nenhuma,B,F,Sem Cotas
48.1,Outro,Médio,Fundamental I,B,C,Ensino Público
49.4,Casado(a),Fundamental I,Fundamental II,A,B,Sem Cotas
36.6,Solteiro(a),Fundamental II,Fundamental II,A,B,Sem Cotas
43.2,Casado(a),Fundamental I,Fundamental I,A,C,Ensino Público
50.8,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
53.5,Solteiro(a),Fundamental I,Fundamental I,A,E,Ensino Público
54.6,Outro,Fundamental I,Fundamental II,B,B,Sem Cotas
39.0,Casado(a),Nenhuma,Nenhuma,C,B,Sem Cotas
61.3,Casado(a),Fundamental I,Fundamental I,B,E,Sem Cotas
50.4,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
52.6,Solteiro(a),Fundamental II,Fundamental II,A,B,Sem Cotas
55.2,Casado(a),Fundamental I,Fundamental I,C,E,Ensino Público
56.3,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
27.0,Casado(a),Nenhuma,Nenhuma,B,F,Ensino Público
28.9,,,,,,
42.0,Solteiro(a),Nenhuma,Fundamental II,A,B,Ensino Público
44.5,Casado(a),Fundamental II,Fundamental II,A,A,Sem Cotas
40.3,Casado(a),Fundamental II,Médio,C,C,Sem Cotas
54.3,Solteiro(a),Fundamental I,Fundamental II,A,B,Ensino Público
53.2,Casado(a),Nenhuma,Nenhuma,A,B,Sim - ?
57.1,Solteiro(a),Fundamental I,Fundamental I,A,B,2 ou mais critérios
49.2,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
44.1,Solteiro(a),Fundamental I,Médio,B,B,Sem Cotas
54.2,Solteiro(a),Fundamental I,Pós-graduação,D,C,Sem Cotas
53.5,Solteiro(a),Fundamental I,Fundamental I,A,E,Ensino Público
41.2,Casado(a),Médio,Nenhuma,B,B,Sem Cotas
26.6,Solteiro(a),Superior,Pós-graduação,E,B,Sem Cotas
43.9,Casado(a),Médio,Fundamental II,A,C,Ensino Público
32.8,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
28.3,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
48.0,Casado(a),Fundamental II,Fundamental I,A,B,Sem Cotas
59.9,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
47.8,Outro,Médio,Médio,A,B,Sem Cotas
26.4,Solteiro(a),Médio,Fundamental II,A,F,Ensino Público
44.6,Solteiro(a),Fundamental I,Fundamental I,B,E,Sem Cotas
79.4,Divorciado(a),Superior,Superior,B,C,Sem Cotas
37.9,Outro,Médio,Médio,A,B,Sem Cotas
35.4,Solteiro(a),Médio,Médio,A,E,Renda
25.8,Divorciado(a),Médio,Médio,C,C,Sem Cotas
20.9,Divorciado(a),Médio,Médio,A,C,Sem Cotas
58.5,Solteiro(a),Fundamental II,Médio,A,B,Renda
58.5,Solteiro(a),Médio,Médio,C,B,Sem Cotas
54.6,Solteiro(a),Médio,Fundamental II,B,E,2 ou mais critérios
55.9,Casado(a),Médio,Superior,A,B,Sem Cotas
65.9,Casado(a),Fundamental I,Fundamental I,B,B,Renda
54.6,Solteiro(a),Fundamental I,Médio,A,E,Sem Cotas
32.5,Casado(a),Fundamental I,Fundamental I,C,B,Sem Cotas
55.5,Casado(a),Médio,Pós-graduação,B,E,Ensino Público
47.7,Outro,Fundamental II,Fundamental II,A,B,Sem Cotas
56.3,Casado(a),Fundamental II,Fundamental II,A,A,Sem Cotas
60.6,Solteiro(a),Fundamental I,Fundamental II,B,C,Ensino Público
28.0,Solteiro(a),Nenhuma,Fundamental I,A,D,Sem Cotas
34.8,Solteiro(a),Fundamental I,Médio,B,C,Sem Cotas
37.1,Solteiro(a),Fundamental II,Médio,A,B,Sem Cotas
47.2,Solteiro(a),Fundamental I,Médio,A,E,Sem Cotas
59.5,Casado(a),Fundamental I,Fundamental I,B,E,Sem Cotas
30.0,Casado(a),Nenhuma,Nenhuma,A,F,Sem Cotas
53.3,Casado(a),Fundamental I,Fundamental II,A,B,Ensino Público
48.8,Solteiro(a),Superior,Superior,B,B,Sem Cotas
73.1,Solteiro(a),Fundamental II,Fundamental II,A,A,Renda
35.5,Solteiro(a),Fundamental II,Fundamental I,A,B,Ensino Público
25.7,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
41.4,Casado(a),Fundamental II,Médio,A,B,Sem Cotas
62.9,Casado(a),Médio,Médio,B,E,Sem Cotas
42.5,Solteiro(a),Fundamental I,Fundamental II,A,A,Renda
27.7,Solteiro(a),Fundamental I,Nenhuma,A,B,Sem Cotas
36.2,,,,,,
46.0,Casado(a),Superior,Médio,A,E,Sem Cotas
29.2,Solteiro(a),Médio,Médio,A,B,Sem Cotas
46.6,Solteiro(a),Fundamental I,Fundamental I,B,B,Ensino Público
34.2,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
42.9,Casado(a),Fundamental II,Superior,C,B,Sem Cotas
63.2,Solteiro(a),Fundamental I,Superior,B,E,Ensino Público
61.0,Solteiro(a),Médio,Superior,B,E,Sem Cotas
33.3,Casado(a),Médio,Médio,A,C,Sem Cotas
